Season,Name,Age,Link ,Event,Tier ,PB,SB,Date,Competition,Ctry,Category,Race,Pl.,Result,Score,Wind,Country,Continent,Competition_Count,DOB
2018,Darcy Roper,19,https://worldathletics.org/athletes/australia/darcy-roper-14550689,LJ_men,Development,8.01,7.68,2/17/2018,"Gold Coast Australian Ch., Gold Coast",AUS,B,Q,11,7.42,1015,-0.6,Australia,Oceania,42,
2018,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550689,LJ_men,Development,8.01,7.82,11/29/2018,Melbourne,AUS,F,F,1,7.82,1069,NWI,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550689,LJ_men,Development,8.01,7.79,1/19/2019,"AV Shield, Melbourne",AUS,F,F,1,7.79,1094,-0.4,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550689,LJ_men,Development,8.01,7.79,1/28/2019,"Track Classic, Canberra",AUS,B,F,2,7.65,1062,0,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550690,LJ_men,Development,8.01,8.20,2/9/2019,"AACT Ch., Canberra",AUS,E,F,1,8.2,1169,2.1,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550691,LJ_men,Development,8.01,8.20,2/9/2019,"AACT Ch., Canberra",AUS,E,F,,7.73,1079,0.5,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550692,LJ_men,Development,8.01,8.20,3/9/2019,"Victorian Ch., Melbourne",AUS,E,F,1,7.86,1108,-0.2,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550693,LJ_men,Development,8.13,8.32,3/16/2019,"Jandakot Airport Perth Track Classic, Perth",AUS,C,F,1,8.32,1193,2.6,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550694,LJ_men,Development,8.13,8.32,3/16/2019,"Jandakot Airport Perth Track Classic, Perth",AUS,C,F,,8.13,1166,1.1,Australia,Oceania,42,
2019,Darcy Roper,20,https://worldathletics.org/athletes/australia/darcy-roper-14550695,LJ_men,Development,8.13,8.32,3/23/2019,"Queensland International Track Classic, Brisbane",AUS,B,F,1,8.05,1149,1.1,Australia,Oceania,42,
2019,Darcy Roper,21,https://worldathletics.org/athletes/australia/darcy-roper-14550696,LJ_men,Development,8.13,8.32,6/30/2019,"Résisprint International, La Chaux-de-Fonds",SUI,C,F,4,8.12,1164,1.3,Switzerland,Europe,4,
2019,Darcy Roper,21,https://worldathletics.org/athletes/australia/darcy-roper-14550697,LJ_men,Development,8.13,8.32,7/5/2019,"Athletissima, Stade Olympique de la Pontaise, Lausanne - Diamond Discipline",SUI,GW,F,6,8.05,1149,0.7,Switzerland,Europe,4,
2019,Darcy Roper,21,https://worldathletics.org/athletes/australia/darcy-roper-14550698,LJ_men,Development,8.13,8.32,7/12/2019,"Universiade, Napoli",ITA,B,Q1,4,7.66,1071,-1.3,Italy,Europe,4,
2019,Darcy Roper,21,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Development,8.13,8.32,7/13/2019,"Universiade, Napoli",ITA,B,F,3,7.9,1116,0.4,Italy,Europe,4,
2019,Darcy Roper,21,https://worldathletics.org/athletes/australia/darcy-roper-14550700,LJ_men,Development,8.13,8.32,9/27/2019,"IAAF World Championships in Athletics, Khalifa International Stadium, Doha",QAT,OW,Q2,9,7.82,1100,-0.2,Qatar,Asia,1,
2020,Darcy Roper,21,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,8.20,1/25/2020,"AACT Ch., AIS Athletics Track, Canberra",AUS,E,F,1,8.2,1181,1.4,Australia,Oceania,42,
2020,Darcy Roper,21,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,8.20,2/1/2020,"Jandakot Airport Track Classic, WA Sports Centre, Perth",AUS,D,F,6,7.26,978,1.1,Australia,Oceania,42,
2021,Darcy Roper,22,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.96,1/26/2021,"Zátopek 10, Hagenauer Reserve, Box Hill, Melbourne",AUS,D,F,1,7.96,1129,1,Australia,Oceania,42,
2021,Darcy Roper,23,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.96,6/29/2021,"Spitzen Leichtathletik, Stadion Allmend, Luzern",SUI,B,F,9,7.63,1057,0.2,Switzerland,Europe,4,
2021,Darcy Roper,23,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,8.02,7/7/2021,"14° Triveneto Meeting Internazionale, Stadio Giuseppe Grezar, Trieste",ITA,D,F,1,8.02,1143,-0.2,Italy,Europe,4,
2022,Darcy Roper,24,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.84,6/7/2022,"Oceania Athletics Championships, Aquatic and Recreation Centre, Mackay",AUS,GL,F,2,7.84,1103,0,Australia,Oceania,42,
2022,Darcy Roper,24,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.96,6/24/2022,"Invitational Meet, Barlow Park, Cairns",AUS,F,F,1,7.96,1129,1.5,Australia,Oceania,42,
2022,Darcy Roper,24,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.96,8/30/2022,"Spitzen Leichtathletik, Stadion Allmend, Luzern",SUI,B,F,10,7.16,968,-2,Switzerland,Europe,4,
2022,Darcy Roper,24,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.99,9/4/2022,"XXXV Meeting Città di Padova, Stadio Colbachini, Padova",ITA,C,F,2,7.99,1136,0.8,Italy,Europe,4,
2023,Darcy Roper,24,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.17,23/2/2023,"Maurie Plant Meet – Melbourne, Lakeside Stadium, Melbourne",AUS,A,F,,7.17,958,1.6,Australia,Oceania,42,
2023,Darcy Roper,24,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,7.94,23/2/2023,"Maurie Plant Meet – Melbourne, Lakeside Stadium, Melbourne",AUS,A,F,2,7.94,112,2.2,Australia,Oceania,42,
2023,Darcy Roper,24,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,8.05,25/3/2023,"Brisbane Track Classic, Queensland Sport and Athletics Centre, Nathan, Brisbane",AUS,B,F,1,8.05,1150,-0.2,Australia,Oceania,42,
2023,Darcy Roper,25,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,8.05,31/3/2023,"Australian Championships, Queensland Sport and Athletics Centre, Nathan, Brisbane",AUS,B,Q2,4,7.68,1079,-1.9,Australia,Oceania,42,
2023,Darcy Roper,25,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,8.05,2/4/2023,"Australian Championships, Queensland Sport and Athletics Centre, Nathan, Brisbane",AUS,B,F,3,7.98,1133,1.4,Australia,Oceania,42,
2023,Darcy Roper,25,https://worldathletics.org/athletes/australia/darcy-roper-14550699,LJ_men,Podium Potential,8.20,8.05,29/6/2023,"Coral Coast Carnival, Barlow Park, Cairns",AUS,F,F,1,8.04,1133,2.3,Australia,Oceania,42,
