champs,discipline,sex,resultscore,place,BIB,ATHLETE,COUNTRY,RESULT
WC_2022,High Jump,F,1180,7,626,Karmen BRUUS,EST,1.96
WC_2022,High Jump,F,1180,8,888,Nadezhda DUBOVITSKAYA,KAZ,1.96
WC_2022,High Jump,F,1150,9,835,Lamara DISTIN,JAM,1.93
WC_2022,High Jump,F,1150,10,1045,Daniela STANCIU,ROU,1.93
WC_2022,High Jump,F,1111,11,862,Kimberly WILLIAMSON,JAM,1.89
WC_2022,High Jump,F,1111,12,1064,Lia APOSTOLOVSKI,SLO,1.89
WC_2022,Long Jump,M,1216,1,1677,Jianan WANG,CHN,8.36
WC_2022,Long Jump,M,1208,2,1944,Miltiadis TENTOGLOU,GRE,8.32
WC_2022,Long Jump,M,1173,3,2289,Simon EHAMMER,SUI,8.16
WC_2022,Long Jump,M,1170,4,1705,Maykel MASSÓ,CUB,8.15
WC_2022,Long Jump,M,1146,5,2403,Steffin MCCARTER,USA,8.04
WC_2022,Long Jump,M,1142,6,2373,Marquis DENDY,USA,8.02
WC_2022,Long Jump,M,1129,7,1964,. SREESHANKAR,IND,7.96
WC_2022,Long Jump,M,1123,8,1757,Eusebio CÁCERES,ESP,7.93
WC_2022,Long Jump,M,1112,9,2034,Wayne PINNOCK,JAM,7.88
WC_2022,Long Jump,M,1107,10,2050,Yuki HASHIOKA,JPN,7.86
WC_2022,Long Jump,M,1096,11,2301,Thobias MONTLER,SWE,7.81
WC_2022,Long Jump,M,1094,12,1535,Henry FRAYNE,AUS,7.80
WC_2023,Long Jump,M,1251,1,,Miltiadis TENTOGLOU,GRE,8.52
WC_2023,Long Jump,M,1247,2,,Wayne PINNOCK,JAM,8.50
WC_2023,Long Jump,M,1197,3,,Tajay GAYLE,JAM,8.27
WC_2023,Long Jump,M,1197,4,,Carey MCLEOD,JAM,8.27
WC_2023,Long Jump,M,1149,5,,Jianan WANG,CHN,8.05
WC_2023,Long Jump,M,1138,6,,Thobias MONTLER,SWE,8.00
WC_2023,Long Jump,M,1133,7,,Radek JUŠKA,CZE,7.98
WC_2023,Long Jump,M,1125,8,,William Williams,USA,7.94
WC_2023,Long Jump,M,1109,9,,Simon EHAMMER,SUI,7.87
WC_2023,Long Jump,M,1107,10,,Alejandro A. PARADA,CUB,7.86
WC_2023,Long Jump,M,1088,11,,Jeswin ALDRIN,IND,7.77
WC_2023,Long Jump,M,1055,12,,Marquis DENDY,USA,7.62
