champs,event_code,discipline,sex,constraint,place,ATHLETE,COUNTRY,RESULT,clesnsed_result,resultscore,
WC_2022,HJ,High Jump,M,distance,9,JuVaughn HARRISON,USA,2.27,2.27,1152,
WC_2022,HJ,High Jump,M,distance,10,Joel BADEN,AUS,2.27,2.27,1152,
WC_2022,HJ,High Jump,M,distance,11,Yonathan KAPITOLNIK,ISR,2.24,2.24,1126,
WC_2022,HJ,High Jump,M,distance,12,Mateusz PRZYBYLKO,GER,2.24,2.24,1126,
WC_2022,HJ,High Jump,M,distance,13,Edgar RIVERA,MEX,2.19,2.19,1081,
WC_2022,HJ,High Jump,F,distance,1,Eleanor PATTERSON,AUS,2.02,2.02,1239,
WC_2022,HJ,High Jump,F,distance,2,Yaroslava MAHUCHIKH,UKR,2.02,2.02,1239,
WC_2022,HJ,High Jump,F,distance,3,Elena VALLORTIGARA,ITA,2,2.00,1219,
WC_2022,HJ,High Jump,F,distance,4,Iryna GERASHCHENKO,UKR,2,2.00,1219,
WC_2022,HJ,High Jump,F,distance,5,Nicola OLYSLAGERS,AUS,1.96,1.96,1180,
WC_2022,HJ,High Jump,F,distance,5,Safina SADULLAYEVA,UZB,1.96,1.96,1180,
WC_2022,HJ,High Jump,F,distance,7,Karmen BRUUS,EST,1.96,1.96,1180,
WC_2022,HJ,High Jump,F,distance,8,Nadezhda DUBOVITSKAYA,KAZ,1.96,1.96,1180,
WC_2022,HJ,High Jump,F,distance,9,Lamara DISTIN,JAM,1.93,1.93,1150,
WC_2022,HJ,High Jump,F,distance,10,Daniela STANCIU,ROU,1.93,1.93,1150,
WC_2022,HJ,High Jump,F,distance,11,Kimberly WILLIAMSON,JAM,1.89,1.89,1111,
WC_2022,HJ,High Jump,F,distance,12,Lia APOSTOLOVSKI,SLO,1.89,1.89,1111,
WC_2022,LJ,Long Jump,M,distance,1,Jianan WANG,CHN,8.36,8.36,1216,
WC_2022,LJ,Long Jump,M,distance,2,Miltiadis TENTOGLOU,GRE,8.32,8.32,1208,
WC_2022,LJ,Long Jump,M,distance,3,Simon EHAMMER,SUI,8.16,8.16,1173,
WC_2022,LJ,Long Jump,M,distance,4,Maykel MASSÓ,CUB,8.15,8.15,1170,
WC_2022,LJ,Long Jump,M,distance,5,Steffin MCCARTER,USA,8.04,8.04,1146,
WC_2022,LJ,Long Jump,M,distance,6,Marquis DENDY,USA,8.02,8.02,1142,
WC_2022,LJ,Long Jump,M,distance,7,. SREESHANKAR,IND,7.96,7.96,1129,
WC_2022,LJ,Long Jump,M,distance,8,Eusebio CÁCERES,ESP,7.93,7.93,1123,
WC_2022,LJ,Long Jump,M,distance,9,Wayne PINNOCK,JAM,7.88,7.88,1112,
WC_2022,LJ,Long Jump,M,distance,10,Yuki HASHIOKA,JPN,7.86,7.86,1107,
WC_2022,LJ,Long Jump,M,distance,11,Thobias MONTLER,SWE,7.81,7.81,1096,
WC_2022,LJ,Long Jump,M,distance,12,Henry FRAYNE,AUS,7.8,7.80,1094,
WC_2023,LJ,Long Jump,M,distance,1,Miltiadis TENTOGLOU,GRE,8.52,8.52,1251,
WC_2023,LJ,Long Jump,M,distance,2,Wayne PINNOCK,JAM,8.5,8.50,1247,
WC_2023,LJ,Long Jump,M,distance,3,Tajay GAYLE,JAM,8.27,8.27,1197,
WC_2023,LJ,Long Jump,M,distance,4,Carey MCLEOD,JAM,8.27,8.27,1197,
WC_2023,LJ,Long Jump,M,distance,5,Jianan WANG,CHN,8.05,8.05,1149,
WC_2023,LJ,Long Jump,M,distance,6,Thobias MONTLER,SWE,8,8.00,1138,
WC_2023,LJ,Long Jump,M,distance,7,Radek JUŠKA,CZE,7.98,7.98,1133,
WC_2023,LJ,Long Jump,M,distance,8,William Williams,USA,7.94,7.94,1125,
WC_2023,LJ,Long Jump,M,distance,9,Simon EHAMMER,SUI,7.87,7.87,1109,
WC_2023,LJ,Long Jump,M,distance,10,Alejandro A. PARADA,CUB,7.86,7.86,1107,
WC_2023,LJ,Long Jump,M,distance,11,Jeswin ALDRIN,IND,7.77,7.77,1088,
WC_2023,LJ,Long Jump,M,distance,12,Marquis DENDY,USA,7.62,7.62,1055,
OLY_2021,LJ,Long Jump,M,distance,1,Miltiadis TENTOGLOU,GRE,8.41,8.41,1227,
OLY_2021,LJ,Long Jump,M,distance,2,Juan Miguel ECHEVARRÍA,CUB,8.41,8.41,1227,
OLY_2021,LJ,Long Jump,M,distance,3,Maykel MASSÓ,CUB,8.21,8.21,1184,
OLY_2021,LJ,Long Jump,M,distance,4,Eusebio CÁCERES,ESP,8.18,8.18,1177,
OLY_2021,LJ,Long Jump,M,distance,5,JuVaughn HARRISON,USA,8.15,8.15,1170,
OLY_2021,LJ,Long Jump,M,distance,6,Yuki HASHIOKA,JPN,8.1,8.10,1160,
OLY_2021,LJ,Long Jump,M,distance,7,Thobias MONTLER,SWE,8.08,8.08,1155,
OLY_2021,LJ,Long Jump,M,distance,8,Filippo RANDAZZO,ITA,7.99,7.99,1136,
OLY_2021,LJ,Long Jump,M,distance,9,Kristian PULLI,FIN,7.92,7.92,1120,
OLY_2021,LJ,Long Jump,M,distance,10,Changzhou HUANG,CHN,7.72,7.72,1077,
OLY_2021,LJ,Long Jump,M,distance,11,Tajay GAYLE,JAM,7.69,7.69,1070,
OLY_2021,LJ,Long Jump,M,distance,12,Fabian HEINLE,GER,7.62,7.62,1055,
WC_2023,100m,100 Metres,M,time,1,Noah LYLES,USA,9.83,9.83,1266,
WC_2023,100m,100 Metres,M,time,2,Letsile TEBOGO,BOT,9.88,9.88,1248,
WC_2023,100m,100 Metres,M,time,3,Zharnel HUGHES,GBR,9.88,9.88,1248,
WC_2023,100m,100 Metres,M,time,4,Oblique SEVILLE,JAM,9.88,9.88,1248,
WC_2023,100m,100 Metres,M,time,5,Christian COLEMAN,USA,9.92,9.92,1234,
WC_2023,100m,100 Metres,M,time,6,Abdul Hakim SANI BROWN,JPN,10.04,10.04,1193,
WC_2023,100m,100 Metres,M,time,7,Ferdinand OMANYALA,KEN,10.07,10.07,1182,
WC_2023,100m,100 Metres,M,time,8,Ryiem FORDE,JAM,10.08,10.08,1179,
WC_2023,200m,200 Meters,M,time,1,Noah LYLES,USA,19.52,19.52,1297,
WC_2023,200m,200 Meters,M,time,2,Erriyon KNIGHTON,USA,19.75,19.75,1260,
WC_2023,200m,200 Meters,M,time,3,Letsile TEBOGO,BOT,19.81,19.81,1250,
WC_2023,200m,200 Meters,M,time,4,Zharnel HUGHES,GBR,20.02,20.02,1217,
WC_2023,200m,200 Meters,M,time,5,Kenneth BEDNAREK,USA,20.07,20.07,1209,
WC_2023,200m,200 Meters,M,time,6,Andre DE GRASSE,CAN,20.14,20.14,1198,
WC_2023,200m,200 Meters,M,time,7,Alexander OGANDO,DOM,20.23,20.23,1184,
WC_2023,200m,200 Meters,M,time,8,Andrew HUDSON,JAM,20.4,20.40,1158,
WC_2023,200m,200 Meters,M,time,9,Joseph FAHNBULLEH,LBR,20.57,20.57,1132,
WC_2023,400m,400 Meters,M,time,1,Antonio WATSON,JAM,44.22,44.22,1235,
WC_2023,400m,400 Meters,M,time,2,Matthew HUDSON-SMITH,GBR,44.31,44.31,1228,
WC_2023,400m,400 Meters,M,time,3,Quincy HALL,USA,44.37,44.37,1224,
WC_2023,400m,400 Meters,M,time,4,Vernon NORWOOD,USA,44.39,44.39,1223,
WC_2023,400m,400 Meters,M,time,5,Kirani JAMES,GRN,44.52,44.52,1213,
WC_2023,400m,400 Meters,M,time,6,Sean BAILEY,JAM,44.96,44.96,1183,
WC_2023,400m,400 Meters,M,time,7,Håvard Bentdal INGVALDSEN,NOR,45.08,45.08,1174,
WC_2023,400m,400 Meters,M,time,8,Wayde VAN NIEKERK,RSA,45.11,45.11,1172,
WC_2023,800m,800 Meters,M,time,1,Marco AROP,CAN,1:44.24,104.24,1197,
WC_2023,800m,800 Meters,M,time,2,Emmanuel WANYONYI,KEN,1:44.53,105.53,1157,
WC_2023,800m,800 Meters,M,time,3,Ben PATTISON,GBR,1:44.83,105.83,1148,
WC_2023,800m,800 Meters,M,time,4,Adrián BEN,ESP,1:44.91,105.91,1146,
WC_2023,800m,800 Meters,M,time,5,Slimane MOULA,ALG,1:44.95,105.95,1145,
WC_2023,800m,800 Meters,M,time,6,Djamel SEDJATI,ALG,1:45.08,105.08,1171,
WC_2023,800m,800 Meters,M,time,7,Tshepiso MASALELA,BOT,1:45.57,106.57,1126,
WC_2023,800m,800 Meters,M,time,8,Bryce HOPPEL,USA,1:46.02,106.02,1143,
WC_2023,1500m,1500 Meters,M,time,1,Josh KERR,GBR,3:29.38,209.38,1254,
WC_2023,1500m,1500 Meters,M,time,2,Jakob INGEBRIGTSEN,NOR,3:29.65,210.65,1235,
WC_2023,1500m,1500 Meters,M,time,3,Narve Gilje NORDÅS,NOR,3:29.68,210.68,1235,
WC_2023,1500m,1500 Meters,M,time,4,Abel KIPSANG,KEN,3:29.89,210.89,1232,
WC_2023,1500m,1500 Meters,M,time,5,Yared NUGUSE,USA,3:30.25,210.25,1241,
